client,cmt,level,like,nn,prov,reply,score,time
4,犹豫对比了很久，这部手机真的很不错，与之前用的小米，魅族相比之下，这部手机要优于其它安卓阵营的品牌。我周围朋友跟着入手了乐视的其他型号，都觉得很不错。用了几个月了，没有出现任何问题，对于一分钟几次拿出手机刷的我来说电量刚刚好用一天。棒棒的，东西验证了，是正品。京东服务和速度真的是超级赞，晚上下单都配货，早上上班就收到了，我现在买东西都直接上京东买了。,62,123,徐***s,,153,5,2017-01-25 13:52:53
4,手机昨天下午收到货，下单次日到，挺速度的，送到村口，挺不容易的。快递很满意！说下手机，标准的库存货，生产日期是2016年6月，将近一年了。电话卡是原三星手机用的，放不进入去，就拿着手机的卡托比划着用菜刀切的，也挺好的，可以用。放进卡去，开不了机，手机一点电都没有，充了三四分钟充电指示灯才稳定，前面一直闪烁的，电池估计都饿死了。充电期间我没开手机，充电比较慢，我看着时间充的，到充满用时1小时56分钟，现在手机都是快充，这个时间有点长了。关于续航，充满电开机从下午5点多下载了几个应用，不是一直使用，还要做饭，看孩子。然后吃完饭给孩子看了熊出没奇幻空间，到晚上9点40左右关闭网络，还剩电量30%左右，早上看又掉了一点电量(关闭网络状态下）。再说下指纹解锁，太恶心了，前面用了四五次还好，虽然反应慢一些，但能解锁。后面就不稳定了，老是震动，屏幕不亮，没解开。最多的一次，触摸了五次指纹，都没解开。最气人。其他方面目前该还没有发现问题。手机外观漂亮，屏幕细腻清晰，不玩游戏，性能不好评价。买这款手机主要是看性价比，硬件设施才买的。希望能用得住吧。。。阿门,56,61,Q***0,,167,4,2017-04-25 16:48:23
4,目前手机使用了一周了，内存使用率一直在50%＿60%之间徘徊。没有下载游戏，只装了几个常用的应用，**、微信、**、京东、***，腾讯新闻，4G内存日常使用够了。除了指纹解锁，其他还比较满意。对拍照要求不高，但2100万像素应该虚标，跟上个手机三星note3   1300万像素相差不大。这点不重要，重要的是指纹解锁失灵了，直接不能用了，从昨天开始，两个指头来回试了三十多次，只震动，解不开屏幕。真恶心，指纹我还不常用，用图案解锁次数多。哎，性价比可以，但兼容性和用户体验还有很大提升空间。指纹功能不能用了，也懒得售后了，将就用着吧。真实评价，勿pen,105,25,丬***丶,,26,5,2017-06-02 21:43:39
0,特意用了一段时间才来评价，乐视Max2手机是一款用心做的好产品，不虚标价格，系统运行流畅，滑动灵活。820的cpu速度快，4g的运存对我来说也够用了，2K屏的效果没的说，屏幕分辨率高，影片越清 显示越好特别清晰，色彩还原逼真。反应灵敏，屏幕比例合适，手握舒适，比6寸屏好，音质不次于2、3千手机水平，尤其拍照非常清晰，2100万像素，远高于1300、1600万像素，实拍文件，发现连纸的细微纹理都清晰显现，指纹识别非常好用，没有发现不灵敏的时候，有评价说有时不灵，我估计是录入指纹不准吧。充电很快，包装是原封，暂时先写这么多，感觉这款手机非常实用，我从不追风一线品牌，一线品牌投入的广告等费用太高，都在手机价格里。 乐Max2应该是现在最高性价比的一款手机了！,62,6,s***8,,25,5,2017-04-14 16:16:34
4,手机那都挺好，拍照和摄像都正常，就是微信发视频对焦一抖一抖的，上网查了下有不少这毛病的，是微信还是手机程序的事，希望厂家解决。,105,2,jd_3021688868,,10,4,2017-03-29 23:18:24
0,屏幕大 比较合我意  看图片很方便  系统流畅  给力 不卡  外观简洁 满意  配送的手机壳不好  手机本身总体满意的 支持国货,62,0,j***3,,17,5,2017-03-16 18:55:15
4,京东的领导，新新家园售楼部购房送的全自动洗衣机洗衣机什么时候能给，买房时说的好听，交定金时就送，一次次说没有货，一个劲的催房款，现在全款都付清了，都还没见全自动洗衣机的影子，一次次都说没货，京东的诚信呢？在哪？在哪？在哪？从2017过年到现在还没给解决,105,18,文***1,,50,5,2017-04-26 15:10:57
4,手机停产了，没有零件，信号没有华为好，同在室内电话打不通，重启关机，换卡，换手机还是一样，移动卡，电信联通没有试，但是安装软件，清理 垃 圾 就反应快很多，手电筒颜色发黄，拍照也没有那么好，拍一张照5-6M很占内存，连拍很快，还有手机黑边框有特别大，什么无边框就是吹出来的,61,0,jd168627132,,0,5,2017-06-07 16:55:24
4,我要说的是京东快递还挺快的，快递员也很热情！京东客服人员服务也很好！就是一点我不很满意，手机发过来电池老没有电。这样会不会亏电太久会损坏电池板呢？总的来说京东发货还是挺快的。手机不错，特别是像素2100万后值像机和前值800万，拍照非常清楚。象这样**元国产手机是很不错的了！,61,13,j***o,,28,5,2017-04-15 17:43:29
3,第一眼看到手机感觉还不错'性价比很高，以前没用过乐视希望好用。京东的包装很一般，里面连个防摔的泡沫都没。快递的速度倒是挺快的。只是快递小哥把东西放在店里的桌子上转头就走了，我连看到长什么样子都没有。最好希望手机不让我失望就好&hellip;&hellip;,61,1,jd_186137how,,2,5,2017-06-18 00:10:31
4,物流很快，晚上买第二天下午就到，收到时因为是下雨外包装有点湿，还好里面没问题，手机挺好的，花面清晰，就是电池不太耐用，其他暂时没有什么问题，等用一段时间再来追评,61,4,欧***曦,,13,5,2017-04-18 19:50:04
4,五星是给配送员的，乐视这款手机给3.6分！看着配置买的，之前买的1S觉得指纹都比Max强，其它各方面都可以，摄像照相一般，这个指纹识别用了不到四次就没有反应了，用plus会员买的2099，因为已经退过一次了，不想退了麻烦，反正也不影响，支持***！支持京东！快递小哥辛苦了，服务好！,62,4,F***e,,6,5,2017-05-24 23:00:59
4,手机充电快     发烫      电池电量掉的快    颜值不错   屏幕大  可惜只有一种颜色    不过不是我自己用的     帮朋友买的   要是没有卡顿现象,61,1,j***w,,5,5,2017-05-21 10:46:24
